RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B2-012643,2012/02/11 00:00:00+00,1400,1404 SUPERIOR at -,INJURY,,2,1,NO,NO,NO,NO,NO,NO,NO,881
B2-011697,2012/02/07 00:00:00+00,1506,"N 27,FAIRFIELD to KNOX",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,882
B2-013923,2012/02/16 00:00:00+00,750,"SUPERIOR,I 180 to N 1",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,883
B2-014538,2012/02/18 00:00:00+00,245,"S 84,DUNROVIN RD to YANKEE HILL",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,884
B2-012296,2012/02/10 00:00:00+00,1050,"GARLAND,N 81 to CLEARWATER BAY",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,885
B2-010509,2012/02/04 00:00:00+00,2209,1503 SUPERIOR at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,886
B2-012701,2012/02/11 00:00:00+00,1934,S 40 at PINE LAKE,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,887
B2-013927,2012/02/16 00:00:00+00,807,JAMESON NORTH at DERBY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,888
B2-011704,2012/02/07 00:00:00+00,1526,S 13 at SOUTH,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,889
B2-014568,2012/02/18 00:00:00+00,710,"S 79,BROOKFIELD to EAST POINTE",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,890
B2-012316,2012/02/10 00:00:00+00,1151,"N 25,DUDLEY to HOLDREGE",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,891
B2-012709,2012/02/11 00:00:00+00,2018,"L,S 11 to S 12",NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,892
B2-010517,2012/02/04 00:00:00+00,2326,"SUN VALLEY,WESTGATE to LINE DR",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,893
B2-011707,2012/02/08 00:00:00+00,1518,S 48 at BRYSON,INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,894
B2-013930,2012/02/16 00:00:00+00,800,"W BELMONT,NW 8 to NW 9",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,895
B2-014571,2012/02/18 00:00:00+00,9999,2410 NW 12 at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,896
B2-012320,2012/02/10 00:00:00+00,1215,PORTIA at KNOX,NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,NO,NO,897
B2-010533,2012/02/05 00:00:00+00,30,"POTTER,GRACE to N 33",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,898
B2-012720,2012/02/11 00:00:00+00,2100,N 44 at HUNTINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,899
B2-011714,2012/02/08 00:00:00+00,1550,N 9 at P,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,YES,NO,900
B2-013931,2012/02/15 00:00:00+00,9999,"N 72,GLADSTONE to WILLOW",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,901
B2-012324,2012/02/10 00:00:00+00,1233,"N 9,ARENA DR to BRIDGE END",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,902
B2-014572,2012/02/17 00:00:00+00,800,"GOODHUE BLVD,E to F",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,903
B2-010535,2012/02/05 00:00:00+00,30,"S 14,GALLOWAY to ABERDEEN",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,904
B2-012737,2012/02/11 00:00:00+00,2145,"S 40,NEBR HWY to SWEETBRIAR",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,905
B2-013956,2012/02/16 00:00:00+00,926,"S 10,M to N",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,906
B2-011723,2012/02/08 00:00:00+00,9999,"ROCKFORD DR,KENNEDY DR to FOLKWAYS",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,907
B2-012354,2012/02/10 00:00:00+00,1406,"O,56 to COTNER",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,908
B2-014577,2012/02/18 00:00:00+00,9999,"W THATCHER,NW 47 CT to NW 46",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,909
B2-010577,2012/02/05 00:00:00+00,538,N 84 at HOLDREGE,NON-INJ,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,910
B2-012738,2012/02/11 00:00:00+00,2153,N 44 & N 45 at STARR & HOLDREGE,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,911
B2-011726,2012/02/08 00:00:00+00,1628,"S 27,M to N",INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,912
B2-013985,2012/02/16 00:00:00+00,1128,"S 17,CALVERT to STOCKWELL",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,913
B2-012371,2012/02/10 00:00:00+00,9999,"N 66,BENTON to FREMONT",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,914
B2-014595,2012/02/18 00:00:00+00,1100,"N 27,HOLDREGE to STARR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,915
B2-010580,2012/02/05 00:00:00+00,550,S 56 at SHADY CREEK,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,YES,NO,916
B2-012787,2012/02/12 00:00:00+00,34,"S 17,E to F",NON-INJ,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,917
B2-011743,2012/02/08 00:00:00+00,1655,"HOLDREGE,N 65 to N COTNER",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,918
B2-014014,,9999,2681 W PEACH at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,919
B2-012373,2012/02/09 00:00:00+00,9999,"N 20,O to P",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,920
B2-014609,2012/02/18 00:00:00+00,1228,"S 56,SAYLOR to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,921
B2-010583,2012/02/05 00:00:00+00,9999,"S 27,M to N",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,922
B2-012793,2012/02/12 00:00:00+00,58,"N 1,CORNHUSKER to SAUNDERS",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,923
B2-011748,2012/02/08 00:00:00+00,1711,"N 27,P to Q",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,924
B2-014023,2012/02/16 00:00:00+00,1325,PINE LAKE at S 14,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,925
B2-012379,2012/02/10 00:00:00+00,1534,"S 40,LAKE to NORMAL",INJURY,REAR END,3,2,NO,NO,NO,NO,NO,NO,NO,926
B2-014614,2012/02/18 00:00:00+00,9999,745 NEW HAMPSHIR at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,927
B2-010588,2012/02/05 00:00:00+00,744,W A at TIMBER RIDGE,INJURY,OTHER,2,1,NO,NO,NO,NO,NO,YES,NO,928
B2-012830,2012/02/12 00:00:00+00,248,"BEL RIDGE,N GATE RD to VALE CR",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,929
B2-011760,2012/02/08 00:00:00+00,1737,"S 48,COOPER to PRESCOTT",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,930
B2-014041,2012/02/16 00:00:00+00,1255,2229 J at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,931
B2-012392,2012/02/10 00:00:00+00,1555,"N 27,FAIRFIELD to KNOX",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,932
B2-010602,2012/02/05 00:00:00+00,848,"N 32,DUDLEY to STARR",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,933
B2-014627,2012/02/18 00:00:00+00,1340,"HOLDREGE,N 53 to N 54",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,934
B2-012848,2012/02/12 00:00:00+00,417,"N 10,CLAREMONT to MILITARY",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,935
B2-010892,2012/02/06 00:00:00+00,810,"S 56,LOCUST to PIONEERS",NON-INJ H&R,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,YES,936
B2-011780,2012/02/08 00:00:00+00,1908,NW 1 at W HARVEST,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,937
B2-014042,2012/02/16 00:00:00+00,1405,"HOLDREGE,N 28 to N 29",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,938
B2-012399,2012/02/10 00:00:00+00,1610,"W O,1 to SUN VALLEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,939
B2-010615,2012/02/05 00:00:00+00,925,S 27 at TIPPERARY,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,940
B2-014631,2012/02/18 00:00:00+00,1400,S 10 at SOUTH,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,941
B2-012900,2012/02/12 00:00:00+00,1230,"S 81,ROSE HILL CT to HANNA POINTE",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,942
B2-011781,2012/02/08 00:00:00+00,1918,"N 48,BENTON to CORNHUSKER",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,943
B2-014053,2012/02/16 00:00:00+00,1441,"O,56 to PIAZZA",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,944
B2-012402,2012/02/10 00:00:00+00,1612,NW 12 at W UPLAND,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,945
B2-014643,2012/02/18 00:00:00+00,1443,"S 27,ARLINGTON to FRANKLIN",NON-INJ,REAR END,3,0,NO,NO,NO,NO,NO,NO,NO,946
B2-010616,2012/02/05 00:00:00+00,927,"A,S 40 to S 44",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,947
B2-012904,2012/02/12 00:00:00+00,1305,"OLD CHENEY,WARLICK to S 14",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,948
B2-010899,2012/02/06 00:00:00+00,835,"S 27,M to N",INJURY,OTHER,5,2,NO,NO,NO,NO,NO,YES,NO,949
B2-011790,2012/02/08 00:00:00+00,1400,1617 F at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,950
B2-014055,2012/02/16 00:00:00+00,1450,"CORNHUSKER,N 31 to STATE FAIR PARK",NON-INJ,OTHER,1,0,NO,NO,NO,NO,NO,NO,NO,951
B2-012420,2012/02/10 00:00:00+00,1706,"VINE,N 33 to N 34",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,952
B2-010631,2012/02/05 00:00:00+00,1011,S 27 at CAPITOL PKWY,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,953
B2-014645,2012/02/18 00:00:00+00,9999,"N 32,O to P",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,954
B2-012908,2012/02/12 00:00:00+00,9999,2920 PINE LAKE at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,955
B2-011880,2012/02/08 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,956
B2-014058,2012/02/16 00:00:00+00,1506,"P,N 25 to N 26",INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,957
B2-012422,2012/02/10 00:00:00+00,1718,"HWY 6,N 84 to CITY LIMITS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,958
B2-014655,2012/02/18 00:00:00+00,1538,"S 56,ELKCREST to LASALLE",INJURY,REAR END,2,1,NO,NO,NO,NO,NO,YES,NO,959
B2-011886,2012/02/09 00:00:00+00,728,"STATE FAIR PARK,CORNHUSKER to THERESA",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,960
B2-012911,2012/02/12 00:00:00+00,9999,"S 18,A to B",NON-INJ H&R,PARKED,3,0,NO,NO,NO,NO,NO,NO,NO,961
B2-014059,2012/02/16 00:00:00+00,1506,MERIDIAN DR at FLETCHER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,962
B2-010636,2012/02/05 00:00:00+00,1035,"HAVELOCK,N 72 to N 73",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,963
B2-012423,2012/02/08 00:00:00+00,2200,UNKNOWN at -,NON-INJ,,2,0,NO,NO,NO,NO,NO,NO,NO,964
B2-011887,2012/02/09 00:00:00+00,734,"N BELL,W R to W S",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,965
B2-014064,2012/02/16 00:00:00+00,844,8800 O at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,966
B2-012916,2012/02/12 00:00:00+00,1423,S 40 at SUMNER,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,967
B2-014667,2012/02/18 00:00:00+00,1620,SOUTHRIDGE at S 27,NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,968
B2-010638,2012/02/05 00:00:00+00,1045,N ANTELOPE VALL at MILITARY,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,NO,NO,969
B2-010914,2012/02/06 00:00:00+00,900,"O,29 to 30",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,NO,NO,970
B2-013204,2012/02/13 00:00:00+00,1327,"NEBR HWY,S 14 to BROWER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,971
B2-011889,2012/02/09 00:00:00+00,737,740 N 70 at RADIANT CHURCH,INJURY,,1,1,NO,NO,NO,NO,NO,NO,NO,972
B2-014071,2012/02/16 00:00:00+00,1513,"GARRET LN,S 13 to S 14",INJURY,,2,2,NO,NO,NO,NO,NO,YES,NO,973
B2-012425,2012/02/10 00:00:00+00,1732,N 70 at P,INJURY,TURNING,2,1,NO,NO,NO,NO,NO,NO,NO,974
B2-014672,2012/02/17 00:00:00+00,9999,"S 77,LAKE to SOUTH",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,975
B2-012924,2012/02/12 00:00:00+00,1515,"CABLE,S 27 to S 28",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,976
B2-010641,2012/02/05 00:00:00+00,1058,"VAN DORN,S 79 to S 82",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,977
B2-014076,2012/02/16 00:00:00+00,1540,S 33 at SHERIDAN,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,978
B2-011890,2012/02/09 00:00:00+00,9999,703 FOLSOM LN at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,979
B2-012927,2012/02/12 00:00:00+00,1609,S 9 & S 10 at B & C,NON-INJ,BACKING,2,0,NO,NO,NO,NO,NO,YES,NO,980
B2-012429,2012/02/10 00:00:00+00,1735,N 23 at P,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,981
B2-010649,2012/02/05 00:00:00+00,1128,"JUDSON,KNOX to N 44",NON-INJ H&R,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,982
B2-014673,2012/02/18 00:00:00+00,1645,"S 56,SAYLOR to SOUTH",NON-INJ H&R,DRIVEWAY,2,0,NO,NO,NO,NO,NO,YES,NO,983
B2-013207,2012/02/13 00:00:00+00,1804,N 30 at APPLE,INJURY,RIGHT ANGLE,2,5,NO,NO,NO,NO,NO,NO,NO,984
B2-010917,2012/02/06 00:00:00+00,2130,"N 62,GLADSTONE to JUDSON",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,985
B2-014087,2012/02/16 00:00:00+00,1622,S 87 at NEBR HWY,INJURY,RIGHT ANGLE,2,5,NO,NO,NO,NO,NO,NO,NO,986
B2-011894,2012/02/08 00:00:00+00,9999,"GARFIELD,S 13 to S 14",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,987
B2-012935,2012/02/12 00:00:00+00,1645,"S 56,SUNRISE to VALLEY",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,988
B2-010668,2012/02/05 00:00:00+00,1212,"NEBR HWY,PINE LAKE to S 70",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,989
B2-012431,2012/02/10 00:00:00+00,1745,S 40 at SMITH,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,990
B2-014717,2012/02/18 00:00:00+00,1840,"O,28 to 29",NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,991
B2-014092,2012/02/16 00:00:00+00,1640,"O,34 to 35",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,992
B2-011908,2012/02/09 00:00:00+00,848,"HARWOOD,S 20 to S 22",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,993
B2-012944,2012/02/12 00:00:00+00,9999,"EASTSHORE,PERRY CR to PINE LAKE",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,994
B2-012436,2012/02/10 00:00:00+00,1800,S 27 at SOUTH,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,995
B2-010672,2012/02/05 00:00:00+00,1225,S 40 at DUXHALL DR,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,YES,NO,996
B2-014719,2012/02/18 00:00:00+00,9999,2801 PINE LAKE at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,997
B2-014095,2012/02/16 00:00:00+00,1650,"N 44,O to Q",INJURY,TURNING,2,2,NO,NO,NO,NO,NO,NO,NO,998
B2-012963,2012/02/12 00:00:00+00,1841,"SALT CREEK RDWY,N ANTELOPE VALL to N 27 ACCESS",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,999
B2-011927,2012/02/09 00:00:00+00,931,"O,10 to 11",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,YES,NO,1000
B2-010921,2012/02/06 00:00:00+00,9999,8310 SUNRIDGE at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,1001
B2-013211,2012/02/13 00:00:00+00,1740,"WOODSDALE,S 24 to S 25",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1002
B2-012440,2012/02/10 00:00:00+00,1823,"A,S 49 to S COTNER",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1003
B2-010673,2012/02/04 00:00:00+00,9999,2605 J at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,1004
B2-014728,2012/02/18 00:00:00+00,2006,S 27 at VAN DORN,INJURY,RIGHT ANGLE,3,2,NO,NO,NO,NO,NO,YES,NO,1005
B2-014101,2012/02/15 00:00:00+00,2230,3160 S 72 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,1006
B2-011942,2012/02/09 00:00:00+00,1020,"N 14,O to P",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,NO,NO,1007
B2-010923,2012/02/06 00:00:00+00,925,"S 33,CALVERT to STOCKWELL",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,YES,1008
B2-013031,2012/02/13 00:00:00+00,429,"W O,I 80 to W 32",NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1009
B2-010678,2012/02/05 00:00:00+00,1239,"N 27,DUDLEY to ORCHARD",INJURY,SIDE SWIPE,3,1,NO,NO,NO,NO,NO,YES,NO,1010
B2-012448,2012/02/10 00:00:00+00,1843,"N 33,VINE to W",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1011
B2-014749,2012/02/18 00:00:00+00,9999,8260 S 33 at -,NON-INJ,,2,0,NO,NO,NO,NO,NO,YES,NO,1012
B2-013220,2012/02/13 00:00:00+00,1400,"J,CAPITOL AVE to S 21",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1013
B2-014107,2012/02/16 00:00:00+00,1714,"F,S 11 to S 12",NON-INJ,DRIVEWAY,2,0,NO,NO,NO,NO,NO,NO,NO,1014
B2-011977,2012/02/09 00:00:00+00,1200,"WHISPERING WIND,S 27 to DEAD END",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1015
B2-010679,2012/02/05 00:00:00+00,1235,N 84 at COLLEGE PARK RD,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,1016
B2-014791,,9999,1225 P at -,NON-INJ H&R,,1,0,NO,NO,NO,NO,NO,NO,NO,1017
B2-012452,2012/02/10 00:00:00+00,1905,"NEBR HWY,S 14 to BROWER",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,1018
B2-013296,2012/02/13 00:00:00+00,2345,"CORNHUSKER,N 23 to N 27",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1019
B2-010940,2012/02/06 00:00:00+00,1050,"O,18 to 19",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1020
B2-013036,2012/02/13 00:00:00+00,625,"HOMESTEAD EXP,I 80 to W O",NON-INJ,OTHER,2,0,NO,NO,NO,NO,NO,YES,NO,1021
B2-014130,2012/02/16 00:00:00+00,1835,"NORMAL,S 40 to S COTNER",INJURY,DRIVEWAY,2,1,NO,NO,NO,NO,NO,NO,NO,1022
B2-011979,2012/02/09 00:00:00+00,1206,W 48 at W O,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,YES,NO,1023
B2-010683,2012/02/05 00:00:00+00,1309,"S 12,A to WASHINGTON",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1024
B2-012466,2012/02/10 00:00:00+00,2005,NW 1 at W HARVEST,NON-INJ H&R,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1025
B2-013316,2012/02/14 00:00:00+00,9999,UNKNOWN at -,NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1026
B2-014843,2012/02/19 00:00:00+00,715,"STARR,LANCASTER to N 70",NON-INJ,RAN OFF ROAD,2,0,NO,NO,NO,NO,NO,NO,NO,1027
B2-010954,2012/02/06 00:00:00+00,1146,"O,32 to 33",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1028
B2-013037,2012/02/12 00:00:00+00,9999,"TRIMBLE,W C to DARREN AV",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1029
B2-014132,2012/02/16 00:00:00+00,1854,"NORMAL,S 40 to S COTNER",INJURY,REAR END,4,2,NO,NO,NO,NO,NO,NO,NO,1030
B2-011988,2012/02/09 00:00:00+00,1220,"I 80,N 27 to CITY LIMITS WEST",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1031
B2-010688,2012/02/05 00:00:00+00,1350,SOUTH at S COTNER,NON-INJ,BACKING,1,0,NO,NO,NO,NO,NO,NO,NO,1032
B2-012546,2012/02/11 00:00:00+00,257,"S 70,OLD POST to SOUTH",INJURY,REAR END,2,3,NO,NO,NO,NO,NO,YES,NO,1033
B2-014851,2012/02/18 00:00:00+00,9999,5560 S 48 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,YES,NO,1034
B2-010957,2012/02/06 00:00:00+00,1205,"NORMAL,S 54 to S 55",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,1035
B2-013317,2012/02/14 00:00:00+00,9999,"S 14,PEACH to PEACH",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1036
B2-013040,2012/02/13 00:00:00+00,714,"S 70,SOUTHFORK to NEBR HWY",NON-INJ,SIDE SWIPE,2,0,NO,NO,NO,NO,NO,NO,NO,1037
B2-012000,2012/02/09 00:00:00+00,1253,"N 27,S to T",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1038
B2-014134,2012/02/16 00:00:00+00,1856,S 84 at OLD CHENEY,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,1039
B2-010690,2012/02/05 00:00:00+00,1400,S 14 at OLD FARM,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,1040
B2-014854,2012/02/19 00:00:00+00,858,CAPITOL PKWY at A,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1041
B2-013322,2012/02/14 00:00:00+00,605,"PEACH,S 14 to S 15",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1042
B2-012584,2012/02/11 00:00:00+00,841,N 26 at KENSINGTON,NON-INJ,RIGHT ANGLE,2,0,NO,NO,NO,NO,NO,YES,NO,1043
B2-013042,2012/02/13 00:00:00+00,720,"W O,W 56 to CITY LIMITS",INJURY,RAN OFF ROAD,1,1,NO,NO,NO,NO,NO,NO,NO,1044
B2-010964,2012/02/06 00:00:00+00,1224,"VAN DORN,PRAIRIE to S 46",INJURY,TURNING,1,1,NO,NO,NO,NO,NO,NO,NO,1045
B2-012016,2012/02/09 00:00:00+00,1300,6550 O at PARKING LOT,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,1046
B2-014136,2012/02/16 00:00:00+00,1910,S 84 at NEBR HWY,INJURY,RIGHT ANGLE,3,1,NO,NO,NO,NO,NO,YES,NO,1047
B2-010703,2012/02/05 00:00:00+00,9999,"BRIARPARK,HALLCLIFFE RD to RENTWORTH DR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,1048
B2-014882,2012/02/19 00:00:00+00,1146,"S 40,NORMAL to SOUTH",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,YES,NO,1049
B2-012591,2012/02/11 00:00:00+00,1003,48 at O,INJURY,OTHER,1,1,NO,YES,NO,NO,NO,NO,NO,1050
B2-013043,2012/02/13 00:00:00+00,726,"NORMAL,EVERETT to S 33",NON-INJ,RAN OFF ROAD,1,0,NO,NO,NO,NO,NO,YES,NO,1051
B2-010987,2012/02/06 00:00:00+00,1320,"S 17,BURNHAM to SUNNY HILL",NON-INJ,PARKED,2,0,NO,NO,NO,NO,NO,YES,NO,1052
B2-013327,2012/02/14 00:00:00+00,720,S 27 at VAN DORN,NON-INJ,RIGHT ANGLE,3,0,NO,NO,NO,NO,NO,YES,NO,1053
B2-012017,2012/02/09 00:00:00+00,1331,N 84 at COLLEGE PARK RD,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,1054
